position,song,artist,genre,mood
28,Last Night,Morgan Wallen,Reggaeton,Romantic
29,TQM,Fuerza Regida,Pop,Energetic
30,Los del Espacio,LIT killah,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more","Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
31,Blank Space,Taylor Swift,Hip-hop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
32,Rauw Alejandro: Bzrp Music Sessions Vol. 56,Bizarrap & Rauw Alejandro,Rap,Energetic
33,Still With You,Jung Kook,Pop,Hopeful
34,Anti-Hero,Taylor Swift,Rock,Defiant
35,See You Again (feat. Kali Uchis),Tyler The Creator,Pop,Melancholic
36,I'm Good (Blue),David Guetta & Bebe Rexha,Pop,Sad
37,I Ain't Worried,OneRepublic,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more",Confident
38,El Azul,Junior H & Peso Pluma,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
39,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,Pop,Upbeat
40,Die For You,The Weeknd,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
41,Die For You (with Ariana Grande) - Remix,The Weeknd,Pop,Romantic
42,Style,Taylor Swift,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more",Energetic
43,Starboy,The Weeknd,Rap,Dark
44,Another Love,Tom Odell,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
45,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
46,Frágil,Yahritza Y Su Esencia & Grupo Frontera,Pop,Melancholic
47,El Cielo,Sky Rompiendo & Feid & Myke Towers,Pop,Dreamy
48,BABY HELLO,Rauw Alejandro & Bizarrap,Indie,Happy
49,BESO,ROSALÍA & Rauw Alejandro,Latin,Romantic
50,La Bachata,Manuel Turizo,Pop,Romantic
1,vampire,Olivia Rodrigo,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
2,Cruel Summer,Taylor Swift,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more",Energetic
3,Ella Baila Sola,Eslabon Armado,Pop,Joyful
4,WHERE SHE GOES,Bad Bunny,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
5,Flowers,Miley Cyrus,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more",Romantic
6,La Bebe - Remix,Yng Lvcas & Peso Pluma,Pop,Joyful
7,un x100to,Grupo Frontera & Bad Bunny,Reggaeton,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
8,Daylight,David Kushner,Hip-hop,Hopeful
9,As It Was,Harry Styles,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
10,LALA,Myke Towers,Rock,Joyful
11,Kill Bill,SZA,Pop,Joyful
12,Cupid - Twin Ver.,FIFTY FIFTY,Soundtrack,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
13,Sprinter,Dave & Central Cee,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
14,MOJABI GHOST,Tainy,Indie,Joyful
15,LADY GAGA,Peso Pluma,Electronic,Joyful
16,Like Crazy,Jimin,Pop,Joyful
17,Classy 101,Feid & Young Miko,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more","Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
18,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,Pop,Energetic
19,SABOR FRESA,Fuerza Regida,Trap,Cheerful
20,fukumean,Gunna,Reggaeton,Joyful
21,Calm Down (with Selena Gomez),Rema,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more","Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
22,I Wanna Be Yours,Arctic Monkeys,Pop,Joyful
23,TULUM,Peso Pluma,Alternative,Joyful
24,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more",Joyful
25,TQG,KAROL G,Pop,Joyful
26,Angels Like You,Miley Cyrus,Pop,Joyful
27,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Pop,Joyful
28,Last Night,Morgan Wallen,Rap,Joyful
29,TQM,Fuerza Regida,Pop,Joyful
30,Los del Espacio,LIT killah,Electronic,Joyful
31,Blank Space,Taylor Swift,Reggaeton,Joyful
32,Rauw Alejandro: Bzrp Music Sessions Vol. 56,Bizarrap & Rauw Alejandro,Pop,Joyful
33,Still With You,Jung Kook,Reggaeton,Joyful
34,Anti-Hero,Taylor Swift,Pop,Joyful
35,See You Again (feat. Kali Uchis),Tyler The Creator,Rock,Joyful
36,I'm Good (Blue),David Guetta & Bebe Rexha,Pop,Joyful
37,I Ain't Worried,OneRepublic,Pop,Joyful
38,El Azul,Junior H & Peso Pluma,Hip-hop,Joyful
39,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,Narcocorrido,Joyful
40,Die For You,The Weeknd,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more",Joyful
41,Die For You (with Ariana Grande) - Remix,The Weeknd,Pop,Energetic
42,Style,Taylor Swift,Pop,Joyful
43,Starboy,The Weeknd,Pop,Joyful
44,Another Love,Tom Odell,R&B,Joyful
45,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,Folk,Joyful
46,Frágil,Yahritza Y Su Esencia & Grupo Frontera,Pop,Melancholic
47,El Cielo,Sky Rompiendo & Feid & Myke Towers,Ballad,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
48,BABY HELLO,Rauw Alejandro & Bizarrap,Rock,Joyful
49,BESO,ROSALÍA & Rauw Alejandro,Pop,"Rate limit reached for gpt-3.5-turbo in organization org-uWfNWCOcsL1wRtL061YaKOtz on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more"
50,La Bachata,Manuel Turizo,Latin,Joyful
1,vampire,Olivia Rodrigo,Latin,Joyful
2,Cruel Summer,Taylor Swift,,
3,Ella Baila Sola,Eslabon Armado,,
4,WHERE SHE GOES,Bad Bunny,,
5,LALA,Myke Towers,,
6,Flowers,Miley Cyrus,,
7,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
8,un x100to,Grupo Frontera & Bad Bunny,,
9,Daylight,David Kushner,,
10,As It Was,Harry Styles,,
11,Kill Bill,SZA,,
12,Sprinter,Dave & Central Cee,,
13,Cupid - Twin Ver.,FIFTY FIFTY,,
14,MOJABI GHOST,Tainy,,
15,LADY GAGA,Peso Pluma,,
16,Classy 101,Feid & Young Miko,,
17,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
18,I Wanna Be Yours,Arctic Monkeys,,
19,fukumean,Gunna,,
20,Like Crazy,Jimin,,
21,Calm Down (with Selena Gomez),Rema,,
22,SABOR FRESA,Fuerza Regida,,
23,TQG,KAROL G,,
24,Angels Like You,Miley Cyrus,,
25,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,
26,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,
27,TULUM,Peso Pluma,,
28,Anti-Hero,Taylor Swift,,
29,Blank Space,Taylor Swift,,
30,Los del Espacio,LIT killah,,
31,TQM,Fuerza Regida,,
32,Last Night,Morgan Wallen,,
33,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,,
34,See You Again (feat. Kali Uchis),Tyler The Creator,,
35,I'm Good (Blue),David Guetta & Bebe Rexha,,
36,El Azul,Junior H & Peso Pluma,,
37,Style,Taylor Swift,,
38,Rauw Alejandro: Bzrp Music Sessions Vol. 56,Bizarrap & Rauw Alejandro,,
39,I Ain't Worried,OneRepublic,,
40,Die For You,The Weeknd,,
41,Die For You (with Ariana Grande) - Remix,The Weeknd,,
42,Starboy,The Weeknd,,
43,Another Love,Tom Odell,,
44,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,,
45,Frágil,Yahritza Y Su Esencia & Grupo Frontera,,
46,Still With You,Jung Kook,,
47,El Cielo,Sky Rompiendo & Feid & Myke Towers,,
48,cardigan,Taylor Swift,,
49,BESO,ROSALÍA & Rauw Alejandro,,
50,La Bachata,Manuel Turizo,,
1,vampire,Olivia Rodrigo,,
2,Cruel Summer,Taylor Swift,,
3,LALA,Myke Towers,,
4,Ella Baila Sola,Eslabon Armado,,
5,WHERE SHE GOES,Bad Bunny,,
6,Flowers,Miley Cyrus,,
7,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
8,un x100to,Grupo Frontera & Bad Bunny,,
9,Daylight,David Kushner,,
10,As It Was,Harry Styles,,
11,Sprinter,Dave & Central Cee,,
12,Kill Bill,SZA,,
13,Cupid - Twin Ver.,FIFTY FIFTY,,
14,MOJABI GHOST,Tainy,,
15,LADY GAGA,Peso Pluma,,
16,Classy 101,Feid & Young Miko,,
17,fukumean,Gunna,,
18,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
19,I Wanna Be Yours,Arctic Monkeys,,
20,Like Crazy,Jimin,,
21,SABOR FRESA,Fuerza Regida,,
22,Calm Down (with Selena Gomez),Rema,,
23,Anti-Hero,Taylor Swift,,
24,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,
25,TQG,KAROL G,,
26,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,
27,TULUM,Peso Pluma,,
28,TQM,Fuerza Regida,,
29,Blank Space,Taylor Swift,,
30,Angels Like You,Miley Cyrus,,
31,Los del Espacio,LIT killah,,
32,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,,
33,Last Night,Morgan Wallen,,
34,I'm Good (Blue),David Guetta & Bebe Rexha,,
35,See You Again (feat. Kali Uchis),Tyler The Creator,,
36,Style,Taylor Swift,,
37,El Azul,Junior H & Peso Pluma,,
38,Die For You,The Weeknd,,
39,Die For You (with Ariana Grande) - Remix,The Weeknd,,
40,I Ain't Worried,OneRepublic,,
41,Enchanted,Taylor Swift,,
42,Rauw Alejandro: Bzrp Music Sessions Vol. 56,Bizarrap & Rauw Alejandro,,
43,Starboy,The Weeknd,,
44,Another Love,Tom Odell,,
45,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,,
46,Frágil,Yahritza Y Su Esencia & Grupo Frontera,,
47,El Cielo,Sky Rompiendo & Feid & Myke Towers,,
48,BESO,ROSALÍA & Rauw Alejandro,,
49,La Bachata,Manuel Turizo,,
50,cardigan,Taylor Swift,,
1,Mine (Taylor's Version),Taylor Swift,,
2,Back To December (Taylor's Version),Taylor Swift,,
3,Enchanted (Taylor's Version),Taylor Swift,,
4,Sparks Fly (Taylor’s Version),Taylor Swift,,
5,Better Than Revenge (Taylor's Version),Taylor Swift,,
6,Speak Now (Taylor's Version),Taylor Swift,,
7,Dear John (Taylor's Version),Taylor Swift,,
8,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,,
9,The Story Of Us (Taylor's Version),Taylor Swift,,
10,Mean (Taylor's Version),Taylor Swift,,
11,vampire,Olivia Rodrigo,,
12,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,,
13,LALA,Myke Towers,,
14,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,,
15,Cruel Summer,Taylor Swift,,
16,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,,
17,Haunted (Taylor's Version),Taylor Swift,,
18,Last Kiss (Taylor's Version),Taylor Swift,,
19,Never Grow Up (Taylor's Version),Taylor Swift,,
20,Long Live (Taylor's Version),Taylor Swift,,
21,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,,
22,WHERE SHE GOES,Bad Bunny,,
23,Innocent (Taylor's Version),Taylor Swift,,
24,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,,
25,Ella Baila Sola,Eslabon Armado,,
26,Ours (Taylor’s Version),Taylor Swift,,
27,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
28,Flowers,Miley Cyrus,,
29,Columbia,Quevedo,,
30,un x100to,Grupo Frontera & Bad Bunny,,
31,Sprinter,Dave & Central Cee,,
32,As It Was,Harry Styles,,
33,Daylight,David Kushner,,
34,Superman (Taylor’s Version),Taylor Swift,,
35,Kill Bill,SZA,,
36,Cupid - Twin Ver.,FIFTY FIFTY,,
37,Classy 101,Feid & Young Miko,,
38,fukumean,Gunna,,
39,LADY GAGA,Peso Pluma,,
40,MOJABI GHOST,Tainy,,
41,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
42,SABOR FRESA,Fuerza Regida,,
43,Like Crazy,Jimin,,
44,I Wanna Be Yours,Arctic Monkeys,,
45,Calm Down (with Selena Gomez),Rema,,
46,Super Shy,NewJeans,,
47,TQG,KAROL G,,
48,Los del Espacio,LIT killah,,
49,Style,Taylor Swift,,
50,BABY HELLO,Rauw Alejandro,,
1,LALA,Myke Towers,,
2,vampire,Olivia Rodrigo,,
3,Cruel Summer,Taylor Swift,,
4,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,,
5,Ella Baila Sola,Eslabon Armado,,
6,Back To December (Taylor's Version),Taylor Swift,,
7,Enchanted (Taylor's Version),Taylor Swift,,
8,Mine (Taylor's Version),Taylor Swift,,
9,WHERE SHE GOES,Bad Bunny,,
10,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
11,un x100to,Grupo Frontera & Bad Bunny,,
12,Flowers,Miley Cyrus,,
13,Sparks Fly (Taylor’s Version),Taylor Swift,,
14,Better Than Revenge (Taylor's Version),Taylor Swift,,
15,Speak Now (Taylor's Version),Taylor Swift,,
16,As It Was,Harry Styles,,
17,Dear John (Taylor's Version),Taylor Swift,,
18,Sprinter,Dave & Central Cee,,
19,Cupid - Twin Ver.,FIFTY FIFTY,,
20,Daylight,David Kushner,,
21,Kill Bill,SZA,,
22,Columbia,Quevedo,,
23,The Story Of Us (Taylor's Version),Taylor Swift,,
24,Mean (Taylor's Version),Taylor Swift,,
25,Classy 101,Feid & Young Miko,,
26,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,,
27,LADY GAGA,Peso Pluma,,
28,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
29,fukumean,Gunna,,
30,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,,
31,SABOR FRESA,Fuerza Regida,,
32,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,,
33,Super Shy,NewJeans,,
34,Haunted (Taylor's Version),Taylor Swift,,
35,MOJABI GHOST,Tainy,,
36,I Wanna Be Yours,Arctic Monkeys,,
37,El Azul,Junior H & Peso Pluma,,
38,TQM,Fuerza Regida,,
39,Long Live (Taylor's Version),Taylor Swift,,
40,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,,
41,Calm Down (with Selena Gomez),Rema,,
42,TQG,KAROL G,,
43,TULUM,Peso Pluma,,
44,Last Kiss (Taylor's Version),Taylor Swift,,
45,Los del Espacio,LIT killah,,
46,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,,
47,Style,Taylor Swift,,
48,Last Night,Morgan Wallen,,
49,Blank Space,Taylor Swift,,
50,Like Crazy,Jimin,,
1,LALA,Myke Towers,,
2,vampire,Olivia Rodrigo,,
3,Cruel Summer,Taylor Swift,,
4,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,,
5,Ella Baila Sola,Eslabon Armado,,
6,WHERE SHE GOES,Bad Bunny,,
7,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
8,un x100to,Grupo Frontera & Bad Bunny,,
9,Back To December (Taylor's Version),Taylor Swift,,
10,Enchanted (Taylor's Version),Taylor Swift,,
11,Flowers,Miley Cyrus,,
12,Mine (Taylor's Version),Taylor Swift,,
13,Sprinter,Dave & Central Cee,,
14,As It Was,Harry Styles,,
15,Daylight,David Kushner,,
16,Cupid - Twin Ver.,FIFTY FIFTY,,
17,Kill Bill,SZA,,
18,Super Shy,NewJeans,,
19,Columbia,Quevedo,,
20,fukumean,Gunna,,
21,Sparks Fly (Taylor’s Version),Taylor Swift,,
22,Speak Now (Taylor's Version),Taylor Swift,,
23,Better Than Revenge (Taylor's Version),Taylor Swift,,
24,LADY GAGA,Peso Pluma,,
25,Classy 101,Feid & Young Miko,,
26,SABOR FRESA,Fuerza Regida,,
27,Dear John (Taylor's Version),Taylor Swift,,
28,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
29,I Wanna Be Yours,Arctic Monkeys,,
30,El Azul,Junior H & Peso Pluma,,
31,TQM,Fuerza Regida,,
32,MOJABI GHOST,Tainy,,
33,The Story Of Us (Taylor's Version),Taylor Swift,,
34,TULUM,Peso Pluma,,
35,Calm Down (with Selena Gomez),Rema,,
36,Mean (Taylor's Version),Taylor Swift,,
37,Style,Taylor Swift,,
38,Last Night,Morgan Wallen,,
39,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,,
40,Blank Space,Taylor Swift,,
41,TQG,KAROL G,,
42,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,
43,Like Crazy,Jimin,,
44,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,,
45,Anti-Hero,Taylor Swift,,
46,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,
47,Los del Espacio,LIT killah,,
48,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,,
49,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,,
50,Frágil,Yahritza Y Su Esencia & Grupo Frontera,,
1,LALA,Myke Towers,,
2,vampire,Olivia Rodrigo,,
3,Cruel Summer,Taylor Swift,,
4,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,,
5,Ella Baila Sola,Eslabon Armado,,
6,WHERE SHE GOES,Bad Bunny,,
7,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
8,Sprinter,Dave & Central Cee,,
9,Columbia,Quevedo,,
10,Flowers,Miley Cyrus,,
11,Daylight,David Kushner,,
12,un x100to,Grupo Frontera & Bad Bunny,,
13,As It Was,Harry Styles,,
14,Super Shy,NewJeans,,
15,Back To December (Taylor's Version),Taylor Swift,,
16,fukumean,Gunna,,
17,Kill Bill,SZA,,
18,Enchanted (Taylor's Version),Taylor Swift,,
19,Cupid - Twin Ver.,FIFTY FIFTY,,
20,Mine (Taylor's Version),Taylor Swift,,
21,Classy 101,Feid & Young Miko,,
22,LADY GAGA,Peso Pluma,,
23,MOJABI GHOST,Tainy,,
24,Sparks Fly (Taylor’s Version),Taylor Swift,,
25,I Wanna Be Yours,Arctic Monkeys,,
26,SABOR FRESA,Fuerza Regida,,
27,Speak Now (Taylor's Version),Taylor Swift,,
28,Better Than Revenge (Taylor's Version),Taylor Swift,,
29,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
30,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,,
31,Dear John (Taylor's Version),Taylor Swift,,
32,Style,Taylor Swift,,
33,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,
34,Blank Space,Taylor Swift,,
35,Calm Down (with Selena Gomez),Rema,,
36,Los del Espacio,LIT killah,,
37,Last Night,Morgan Wallen,,
38,TQM,Fuerza Regida,,
39,TQG,KAROL G,,
40,TULUM,Peso Pluma,,
41,Anti-Hero,Taylor Swift,,
42,Like Crazy,Jimin,,
43,El Azul,Junior H & Peso Pluma,,
44,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,
45,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,,
46,The Story Of Us (Taylor's Version),Taylor Swift,,
47,Die For You,The Weeknd,,
48,Die For You (with Ariana Grande) - Remix,The Weeknd,,
49,See You Again (feat. Kali Uchis),Tyler The Creator,,
50,Angels Like You,Miley Cyrus,,
1,LALA,Myke Towers,,
2,vampire,Olivia Rodrigo,,
3,Cruel Summer,Taylor Swift,,
4,WHERE SHE GOES,Bad Bunny,,
5,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,,
6,Ella Baila Sola,Eslabon Armado,,
7,Sprinter,Dave & Central Cee,,
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
9,Flowers,Miley Cyrus,,
10,Daylight,David Kushner,,
11,un x100to,Grupo Frontera & Bad Bunny,,
12,As It Was,Harry Styles,,
13,Super Shy,NewJeans,,
14,fukumean,Gunna,,
15,Columbia,Quevedo,,
16,Kill Bill,SZA,,
17,Cupid - Twin Ver.,FIFTY FIFTY,,
18,Classy 101,Feid & Young Miko,,
19,Back To December (Taylor's Version),Taylor Swift,,
20,Enchanted (Taylor's Version),Taylor Swift,,
21,LADY GAGA,Peso Pluma,,
22,MOJABI GHOST,Tainy,,
23,I Wanna Be Yours,Arctic Monkeys,,
24,Mine (Taylor's Version),Taylor Swift,,
25,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,,
26,SABOR FRESA,Fuerza Regida,,
27,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
28,Calm Down (with Selena Gomez),Rema,,
29,Blank Space,Taylor Swift,,
30,Style,Taylor Swift,,
31,Anti-Hero,Taylor Swift,,
32,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,
33,TQG,KAROL G,,
34,Last Night,Morgan Wallen,,
35,Los del Espacio,LIT killah,,
36,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,
37,TULUM,Peso Pluma,,
38,TQM,Fuerza Regida,,
39,Like Crazy,Jimin,,
40,I'm Good (Blue),David Guetta & Bebe Rexha,,
41,Die For You (with Ariana Grande) - Remix,The Weeknd,,
42,Angels Like You,Miley Cyrus,,
43,Die For You,The Weeknd,,
44,See You Again (feat. Kali Uchis),Tyler The Creator,,
45,El Azul,Junior H & Peso Pluma,,
46,Dance The Night (From Barbie The Album),Dua Lipa,,
47,I Ain't Worried,OneRepublic,,
48,Sparks Fly (Taylor’s Version),Taylor Swift,,
49,Better Than Revenge (Taylor's Version),Taylor Swift,,
50,Starboy,The Weeknd,,
1,LALA,Myke Towers,,
2,vampire,Olivia Rodrigo,,
3,Cruel Summer,Taylor Swift,,
4,WHERE SHE GOES,Bad Bunny,,
5,Ella Baila Sola,Eslabon Armado,,
6,Sprinter,Dave & Central Cee,,
7,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,,
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,,
9,Flowers,Miley Cyrus,,
10,Daylight,David Kushner,,
11,un x100to,Grupo Frontera & Bad Bunny,,
12,As It Was,Harry Styles,,
13,Super Shy,NewJeans,,
14,Columbia,Quevedo,,
15,fukumean,Gunna,,
16,Kill Bill,SZA,,
17,Cupid - Twin Ver.,FIFTY FIFTY,,
18,Classy 101,Feid & Young Miko,,
19,LADY GAGA,Peso Pluma,,
20,MOJABI GHOST,Tainy,,
21,I Wanna Be Yours,Arctic Monkeys,,
22,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,,
23,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,,
24,SABOR FRESA,Fuerza Regida,,
25,Blank Space,Taylor Swift,,
26,Anti-Hero,Taylor Swift,,
27,Style,Taylor Swift,,
28,Enchanted (Taylor's Version),Taylor Swift,,
29,Calm Down (with Selena Gomez),Rema,,
30,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,
31,Back To December (Taylor's Version),Taylor Swift,,
32,TQG,KAROL G,,
33,Last Night,Morgan Wallen,,
34,TQM,Fuerza Regida,,
